codigo,tipo_semestre,dias,horarios
INF15927,IMPAR,SEGUNDA,H15_16:H16_17
INF15927,IMPAR,QUINTA,H13_14:H14_15
INF15927,PAR,QUARTA:SEXTA,H11_12:H12_13
INF15933,IMPAR,QUARTA:SEXTA,H15_16:H16_17
INF15933,PAR,TERCA:QUINTA,H13_14:H14_15
INF15973,IMPAR,TERCA:SEXTA,H07_08:H08_09
INF15973,PAR,QUARTA:SEXTA,H15_16:H16_17
INF15974,AMBOS,SEGUNDA:QUARTA,H15_16:H16_17
INF15975,IMPAR,TERCA:QUINTA,H09_10:H10_11
INF15975,PAR,TERCA:SEXTA,H15_16:H16_17
INF15978,IMPAR,TERCA:QUINTA,H13_14:H14_15
INF15978,PAR,TERCA:QUINTA,H07_08:H08_09
INF15979,IMPAR,SEGUNDA:QUARTA,H15_16:H16_17
INF15979,PAR,SEGUNDA:QUARTA,H11_12:H12_13
INF15980,IMPAR,QUARTA:SEXTA,H09_10:H10_11
INF15980,PAR,SEGUNDA,H13_14:H14_15
INF15980,PAR,QUINTA,H15_16:H16_17
INF16013,IMPAR,QUARTA:SEXTA,H13_14:H14_15
INF16016,IMPAR,TERCA:QUINTA,H13_14:H14_15
INF16028,PAR,SEGUNDA:QUARTA,H15_16:H16_17
INF16150,IMPAR,TERCA,H13_14:H14_15
INF16150,IMPAR,QUARTA,H15_16:H16_17
INF16151,IMPAR,TERCA:QUINTA,H15_16:H16_17
INF16152,PAR,TERCA:QUINTA,H15_16:H16_17
INF16153,IMPAR,SEGUNDA:QUARTA,H11_12:H12_13
INF16153,PAR,TERCA:QUINTA,H13_14:H14_15
INF16154,IMPAR,QUARTA,H17_18:H18_19
INF16154,IMPAR,SEXTA,H13_14:H14_15
INF16154,PAR,TERCA:QUINTA,H09_10:H10_11
INF16155,PAR,QUARTA:SEXTA,H13_14:H14_15
INF16156,IMPAR,TERCA:QUINTA,H15_16:H16_17
INF16156,PAR,TERCA:QUINTA,H09_10:H10_11
INF16157,IMPAR,SEGUNDA:QUARTA,H15_16:H16_17
INF16158,IMPAR,SEGUNDA,H13_14:H14_15
INF16158,IMPAR,QUARTA,H17_18:H18_19
INF16158,PAR,SEGUNDA:QUARTA,H09_10:H10_11
INF16159,PAR,SEGUNDA,H13_14:H14_15:H15_16:H16_17
INF16160,PAR,TERCA:QUINTA,H13_14:H14_15
INF16161,IMPAR,QUARTA:SEXTA,H09_10:H10_11
INF16161,PAR,TERCA:QUINTA,H15_16:H16_17
INF16162,IMPAR,TERCA:QUINTA,H07_08:H08_09
INF16162,PAR,QUARTA:SEXTA,H13_14:H14_15
INF16163,IMPAR,TERCA:QUINTA,H15_16:H16_17
INF16164,IMPAR,SEGUNDA:QUARTA,H13_14:H14_15
INF16165,IMPAR,TERCA,H09_10:H10_11:H11_12:H12_13
INF16165,PAR,SEGUNDA,H13_14:H14_15:H15_16:H16_17
MAT15925,IMPAR,SEGUNDA:QUARTA:SEXTA,H13_14:H14_15
MAT15931,PAR,SEGUNDA:QUARTA,H13_14:H14_15
MAT15932,IMPAR,TERCA:QUINTA,H13_14:H14_15
MAT15937,IMPAR,TERCA:QUINTA,H15_16:H16_17
STA15932,IMPAR,TERCA:QUINTA,H13_14:H14_15
STA15932,PAR,TERCA:QUINTA,H07_08:H08_09
